,date,gender,age,lat,lng,url
4830,2013-05-21,F,20.0,38.6272733,-90.1978889,http://stlouis.cbslocal.com/2013/05/22/two-killed-in-shootings-tuesday-night/
4831,2013-05-21,M,21.0,38.6272733,-90.1978889,http://stlouis.cbslocal.com/2013/05/22/two-killed-in-shootings-tuesday-night/
4832,2013-05-21,F,52.0,38.9695316,-77.3859479,http://www.nbcwashington.com/news/local/Four-Found-Dead-in-Herndon-Home-171198321.html
4833,2013-05-21,M,13.0,38.9695316,-77.3859479,http://www.nbcwashington.com/news/local/Four-Found-Dead-in-Herndon-Home-171198321.html
4834,2013-05-21,M,16.0,38.9695316,-77.3859479,http://www.nbcwashington.com/news/local/Four-Found-Dead-in-Herndon-Home-171198321.html
4835,2013-05-21,M,57.0,38.9695316,-77.3859479,http://www.nbcwashington.com/news/local/Four-Found-Dead-in-Herndon-Home-171198321.html
4836,2013-05-21,M,27.0,33.5206824,-86.8024326,http://blog.al.com/spotnews/2013/05/man_hospitalized_with_life-thr.html
4837,2013-05-21,M,54.0,37.8043808,-122.2708166,http://www.mercurynews.com/ci_23303176/oakland-police-identify-citys-40th-homicide-victim-2013
4838,2013-05-21,F,35.0,42.291707,-85.5872286,http://www.wwmt.com/shared/news/features/top-stories/stories/wwmt_suspect-arrested-kalamazoo-shooting-10380.shtml
4839,2013-05-21,M,36.0,39.9622601,-83.0007065,http://www.myfox28columbus.com/shared/news/features/top-stories/stories/wsyx_e-columbus-shooting-victim-dies-23986.shtml
4840,2013-05-21,F,20.0,41.0997803,-80.6495194,http://www.vindy.com/news/2013/may/22/police-probe-latest-homicide/
4841,2013-05-21,M,23.0,29.9682672,-95.530660006044,http://www.khou.com/news/local/Man-dies-after-being-shot-driving-several-miles-from-bar-208274321.html
4842,2013-05-21,M,21.0,37.541239,-77.4420183,http://wtvr.com/2013/05/21/walcott-place-shooting/
4843,2013-05-21,F,10.0,38.0695816,-78.7005751,http://www.nbc29.com/story/22399076/updated-albemarle-police-tight-lipped-about-crozet-fatal-shooting
4844,2013-05-21,M,1.0,40.4416941,-79.9900861,http://www.wpxi.com/news/news/local/1-year-old-boy-killed-2-women-injured-east-hills/nXyxw/
4845,2013-05-21,F,75.0,36.145204,-115.1611806,http://www.fox5vegas.com/story/22476984/2-charged-in
4846,2013-05-21,F,37.0,39.9831616,-75.8238355,http://www.nydailynews.com/news/national/suspect-posts-shotgun-pic-online-girlfriend-death-article-1.1352831
4847,2013-05-21,F,42.0,33.5391916,-112.1857258,http://www.kpho.com/story/22401543/arrest-made-in-deadly-glendale-double-shooting
4848,2013-05-22,M,,39.1370528,-76.6983022,http://www.capitalgazette.com/maryland_gazette/police_beat/anne-arundel-police-investigate-death-at-severn-shooting-range/article_e41b7c4e-9a4d-510f-8384-719e8e48ca4d.html
4849,2013-05-22,M,35.0,39.952335,-75.163789,http://philadelphia.cbslocal.com/2013/05/22/deadly-police-involved-shooting-in-germantown/
4850,2013-05-22,M,,39.952335,-75.163789,http://philadelphia.cbslocal.com/2013/05/22/man-hospitalized-in-police-involved-shooting-in-west-philadelphia/
4851,2013-05-22,M,27.0,39.9448436,-75.1198694,http://abclocal.go.com/wpvi/story?section=news/local&id=9111773
4852,2013-05-22,M,22.0,41.6021292,-87.3371372,http://bit.ly/128jnJh
4853,2013-05-22,M,41.0,34.5406414,-117.341067557552,http://vvng.com/four-arrested-in-death-of-roger-miller/
4854,2013-05-22,M,70.0,26.55284,-81.9135579584771,http://www.nbc-2.com/story/22398918/active#.UijRpcYqhmw
4855,2013-05-22,M,22.0,38.8051095,-77.0470229,http://www.nbcwashington.com/news/local/Off-Duty-Arlington-Deputy-Involved-in-Fatal-Aleaxandria-Shooting--208453801.html
4856,2013-05-22,M,27.0,28.5421175,-81.3790462,http://en.wikipedia.org/wiki/Ibragim_Todashev
4857,2013-05-22,M,30.0,41.8756208,-87.6243706,http://homicides.suntimes.com/victims/antwone-price/
4858,2013-05-22,M,25.0,39.2908608,-76.6108073,http://data.baltimoresun.com/homicides/victim/1531/
4859,2013-05-22,M,25.0,39.2908608,-76.6108073,http://data.baltimoresun.com/homicides/victim/1532/
