,names,state,males,females,lat,lng,total_deaths
2650,"Lauderdale Lakes, Florida",FL,6,0,26.16839695,-80.2047222133163,6
2651,"Lauderhill, Florida",FL,1,2,26.1403635,-80.2133808,3
2652,"Lealman, Florida",FL,1,1,27.8211366,-82.6792661,2
2653,"Lee County, Florida",FL,1,0,26.55284,-81.9135579584771,1
2654,"Leesburg, Florida",FL,1,0,28.7891025,-81.87269846018899,1
2655,"Lehigh Acres, Florida",FL,3,2,26.6042355,-81.65823731518141,5
2656,"Levy County, Florida",FL,1,0,29.2529515,-82.8199580894927,1
2657,"Liberty City, Florida",FL,1,1,25.8317637,-80.2167149,2
2658,"Longwood, Florida",FL,1,0,28.7007349,-81.3493978064175,1
2659,"Lynn Haven, Florida",FL,1,0,30.2454776,-85.648261,1
2660,"Margate, Florida",FL,1,1,26.2424556,-80.2141414080379,2
2661,"Marion, Florida",FL,1,1,30.4413305,-82.946522,2
2662,"Mayport, Florida",FL,1,0,30.3932957,-81.4306424,1
2663,"Melbourne, Florida",FL,7,1,28.0836269,-80.6081089,8
2664,"Merritt Island, Florida",FL,1,0,28.2714905,-80.66497696615059,1
2665,"Miami, Florida",FL,53,9,25.7742658,-80.1936589,62
2666,"Miami Beach, Florida",FL,2,0,25.7881436,-80.1272705,2
2667,"Miami Gardens, Florida",FL,14,2,25.9420978,-80.2397539620777,16
2668,"Miami-Dade, Florida",FL,16,1,25.7742658,-80.1936589,17
2669,"Miami-Dade County, Florida",FL,2,1,25.7889689,-80.2264393,3
2670,"Milton, Florida",FL,1,0,30.6324149,-87.0396881,1
2671,"Miramar, Florida",FL,1,1,25.97592075,-80.3347217406541,2
2672,"Mount Dora, Florida",FL,1,0,28.8188085,-81.6756844187741,1
2673,"Naples, Florida",FL,3,0,26.1420358,-81.7948103,3
2674,"Navarre, Florida",FL,1,0,30.4015879,-86.863571,1
2675,"New Port Richey, Florida",FL,1,0,28.247111,-82.71702407847529,1
2676,"Newberry, Florida",FL,1,0,29.6463535,-82.6065023,1
2677,"North Fort Myers, Florida",FL,1,0,26.71128665,-81.81290581352759,1
2678,"North Lauderdale, Florida",FL,1,0,26.217305,-80.2258811,1
2679,"North Port, Florida",FL,1,0,27.044224,-82.2359254,1
2680,"Oakland Park, Florida",FL,3,0,26.1802357,-80.1514141092668,3
2681,"Ocala, Florida",FL,13,3,29.1700175,-82.1391638702577,16
2682,"Ocklawaha, Florida",FL,1,0,29.0427592,-81.9292505,1
